No,as_path,no_of_hops
1,"40985,8455,8075",1
2,"40985,8455,1299,8075",2
3,"40985,8455,3356,8075",2
4,"40985,8455,2914,3257,8075",3
5,"40985,8455,2914,3356,8075",3
6,"40985,8455,2914,3491,8075",3
7,"40985,8455,2914,12956,8075",3
8,"40985,8455,2914,6453,8075",3
9,"40985,8455,2914,7018,8075",3
10,"40985,8455,1299,174,8075",3
11,"40985,8455,1299,3491,8075",3
12,"40985,8455,3356,174,8075",3
13,"40985,8455,3356,3491,8075",3
14,"40985,8455,3356,3257,8075",3
